Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C10, C12, C14, C24, C25, C26, C3, C4, C5, C7, C9",C_Rect_L4.0mm_W2.5mm_P2.50mm,12,100nF,
"C11, C15",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,560pF,
"C13, C21, C22, C23",C_Rect_L4.0mm_W2.5mm_P2.50mm,4,330pF,
"C16, C18",CP_Radial_D5.0mm_P2.00mm,2,4.7uF,
"C17, C2, C20",CP_Radial_D5.0mm_P2.00mm,3,10uF,
C19,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,10nF,
C6,CP_Radial_D8.0mm_P5.00mm,1,100uF,
C8,CP_Radial_D5.0mm_P2.50mm,1,47uF,
"D1, D2, D7",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
"D10, D11, D12",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,LED,
"D3, D4, D5, D6, D8, D9",D_DO-41_SOD81_P10.16mm_Horizontal,6,1N4007,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,DC_in,
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Input_Jack,
J11,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Output_Jack,
Q1,TO-92_Inline,1,BC337,
"R1, R17, R19, R20, R21, R22, R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,100k,
"R10, R11, R14, R15, R16, R3, R4, R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,9,10k,
"R12, R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,15k,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.2k,
"R24, R25",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,220R,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3.3k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.6k,
RV1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,B50K,
RV2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,B20K,
RV3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,B50K,
SW1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Shoegaze,
"U1, U5, U6",DIP-8_W7.62mm,3,LM741,
U2,DIP-16_W7.62mm,1,PT2399,
U3,TO-220-3_Vertical,1,L7805,
U4,TO-220-3_Vertical,1,L7809,
"U7, U8",UB2-5NUN,2,UB2-5NUN,
