Designator,Mid X,Mid Y,Rotation,Layer
_2,103.25,-53.499999,0.0,top
,48.0,-53.75,0.0,top
C1,61.193208,-91.477652,180.0,top
C10,84.0,-101.25,90.0,top
C11,102.09,-101.25,90.0,top
C12,87.09,-101.25,270.0,top
C13,93.09,-115.88,90.0,top
C14,90.09,-115.88,90.0,top
C15,90.09,-101.25,90.0,top
C16,90.59,-126.88,0.0,top
C17,84.84,-126.88,0.0,top
C18,96.34,-126.88,0.0,top
C19,84.09,-115.81,270.0,top
C2,56.238096,-108.227652,0.0,top
C20,102.09,-126.88,0.0,top
C21,97.750001,-48.9,0.0,top
C22,59.000001,-44.15,90.0,top
C23,50.920001,-49.15,0.0,top
C24,58.5,-69.25,0.0,top
C25,95.75,-69.25,0.0,top
C26,89.84,-86.75,270.0,top
C3,61.193208,-105.477652,0.0,top
C4,61.193208,-88.247652,180.0,top
C5,100.75,-87.5,180.0,top
C6,76.25,-89.955113,270.0,top
C7,86.84,-86.75,90.0,top
C8,76.25,-97.205113,90.0,top
C9,83.84,-86.75,90.0,top
D1,51.193208,-82.747652,0.0,top
D10,66.5,-52.344982,0.0,top
D11,81.75,-61.7,0.0,top
D12,81.75,-67.2,0.0,top
D2,51.193208,-79.747652,180.0,top
D3,87.330001,-45.65,0.0,top
D4,87.330001,-42.4,180.0,top
D5,67.170001,-45.65,180.0,top
D6,67.170001,-42.4,0.0,top
D7,85.78,-80.07,0.0,top
D8,73.807974,-57.594982,0.0,top
D9,73.807974,-72.344982,0.0,top
J1,77.250001,-44.95,180.0,top
J10,47.2,-64.75,90.0,top
J11,104.05,-62.25,270.0,top
Q1,94.2,-86.32,90.0,top
R1,51.193208,-97.747652,0.0,top
R10,99.09,-108.5,270.0,top
R11,96.09,-108.5,270.0,top
R12,99.09,-118.38,270.0,top
R13,90.09,-108.5,270.0,top
R14,87.09,-108.5,270.0,top
R15,84.09,-108.5,270.0,top
R16,96.09,-118.38,270.0,top
R17,102.09,-118.38,270.0,top
R18,102.09,-108.5,270.0,top
R19,85.78,-82.82,180.0,top
R2,51.193208,-94.747652,0.0,top
R20,52.0,-69.88,90.0,top
R21,89.25,-67.31,90.0,top
R22,52.0,-59.94,90.0,top
R23,89.25,-57.44,90.0,top
R24,82.25,-54.25,180.0,top
R25,57.5,-53.25,0.0,top
R3,51.193208,-85.747652,0.0,top
R4,51.193208,-100.747652,0.0,top
R5,51.193208,-103.747652,180.0,top
R6,51.193208,-88.747652,0.0,top
R7,51.193208,-91.747652,180.0,top
R8,95.59,-82.07,0.0,top
R9,93.09,-108.5,270.0,top
RV1,59.438208,-81.997652,270.0,top
RV2,94.09,-78.32,180.0,top
RV3,90.09,-120.38,0.0,top
SW1,73.807974,-52.344982,0.0,top
U1,61.198208,-98.477652,0.0,top
U2,93.19,-93.94,270.0,top
U3,99.040001,-43.9,180.0,top
U4,52.210001,-44.15,180.0,top
U5,58.505,-62.25,0.0,top
U6,95.755,-62.25,0.0,top
U7,73.807974,-64.943282,0.0,top
U8,73.807974,-79.594982,0.0,top
